
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.0057599999999999475: losses = 10338.941644072609, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.005759999999999953: losses = 10338.940349932935, delta_magnet = 0.00018304557471134886 
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981505589676: losses = 0.15941264951349463, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981505589676: losses = 0.15941264951348283, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981505589676: losses = 0.019030712709315223, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981507883657: losses = 0.020141255716453137, delta_magnet = 0.00018304557471134886
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.005759999999999979: losses = 11661.398133004392, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.005759999999999992: losses = 10338.95572880071, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.0057599999999999735: losses = 10351.355008757784, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.005760000000000022: losses = 10338.959565511921, delta_magnet = 0.00018304557471134886 
Flat Sim: PZ = 1000, Tau = 0.9, omega = 6283.185307179586, A_magnet = 0.0012893163090857774: losses = 2851072.9667725516, delta_magnet = 0.017365227951071417, Innenradius = 37.997197 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.005759999999999992: losses = 10338.955728800871, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.005759999999999992: losses = 10340.459616675891, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.0057599999999999735: losses = 10351.355008741597, delta_magnet = 0.00018304557471134886 
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672694: losses = 1.6459211658436108e-05, delta_magnet = 0.00018304557471134886
